filename,tier,split
Dan P_Offdrive Average.MOV,Average,tuning
Drive_Average 2.MOV,Average,tuning
Drive_Average.MOV,Average,heldout
Female_Average.mp4,Average,tuning
Straight Drive_Beginner.mp4,Average,tuning
Drive_Beginner 2.MOV,Beginner,heldout
Drive_Beginner 3.MOV,Beginner,tuning
Drive_Beginner 4.MOV,Beginner,tuning
Drive_beginner.MOV,Beginner,tuning
Oscar V_Beginner.mp4,Beginner,tuning
Cam T_LH Offdrive Elite.mov,Elite,tuning
Cam T_Offdrive Elite.mp4,Elite,tuning
Cam T_Ondrive Elite.mov,Elite,tuning
Viv P_Offdrive Elite.mov,Elite,heldout
Alex T_Straightdrive Good.MOV,Good Club,tuning
AlexT_Ondrive Good.MOV,Good Club,heldout
Cam T_Offdrive Good.mp4,Good Club,tuning
Ollie P_Offdrive Average.mov,Good Club,tuning
