filename,tier,rule_id,rule_name,pillar,suspended,fired,points_deducted,system_pillar_score,manual_pillar_score,pillar_abs_error,system_overall,manual_overall,overall_abs_error
Alex T_Straightdrive Good.MOV,Good Club,A1,Bat path around body,access,False,True,6,19,21,2,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,A2,Elbow angle at contact,access,True,False,0,19,21,2,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,A3,Compression frames,access,False,False,0,19,21,2,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,A4,Torso lean,access,True,False,0,19,21,2,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,A5,Shoulder-hip gap,access,False,False,0,19,21,2,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,A6,Early opening fraction,access,False,False,0,19,21,2,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,T1,Head offset,tracking,True,False,0,22,19,3,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,T2,Early head change,tracking,False,True,3,22,19,3,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,T3,Head position variance,tracking,True,False,0,22,19,3,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,T4,Eye tilt,tracking,True,False,0,22,19,3,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,T5,Setup head variance,tracking,True,False,0,22,19,3,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,S1,Hip shift,stability,False,False,0,19,21,2,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,S2,Post-contact instability,stability,False,True,6,19,21,2,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,S3,Hip drift frames,stability,True,False,0,19,21,2,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,S4,Post-contact body rotation,stability,False,False,0,19,21,2,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,F1,Sync frames,flow,False,False,0,10,18,8,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,F2,Velocity direction changes,flow,True,False,0,10,18,8,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,F3,Timing ratio,flow,False,True,6,10,18,8,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,F4,Pause frames,flow,False,False,0,10,18,8,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,F5,Mid-downswing hitch,flow,False,True,5,10,18,8,70,79,9
Alex T_Straightdrive Good.MOV,Good Club,F6,Follow-through frames,flow,False,True,4,10,18,8,70,79,9
AlexT_Ondrive Good.MOV,Good Club,A1,Bat path around body,access,False,False,0,22,18,4,74,80,6
AlexT_Ondrive Good.MOV,Good Club,A2,Elbow angle at contact,access,True,False,0,22,18,4,74,80,6
AlexT_Ondrive Good.MOV,Good Club,A3,Compression frames,access,False,False,0,22,18,4,74,80,6
AlexT_Ondrive Good.MOV,Good Club,A4,Torso lean,access,True,False,0,22,18,4,74,80,6
AlexT_Ondrive Good.MOV,Good Club,A5,Shoulder-hip gap,access,False,True,3,22,18,4,74,80,6
AlexT_Ondrive Good.MOV,Good Club,A6,Early opening fraction,access,False,False,0,22,18,4,74,80,6
AlexT_Ondrive Good.MOV,Good Club,T1,Head offset,tracking,True,False,0,25,19,6,74,80,6
AlexT_Ondrive Good.MOV,Good Club,T2,Early head change,tracking,False,False,0,25,19,6,74,80,6
AlexT_Ondrive Good.MOV,Good Club,T3,Head position variance,tracking,True,False,0,25,19,6,74,80,6
AlexT_Ondrive Good.MOV,Good Club,T4,Eye tilt,tracking,True,False,0,25,19,6,74,80,6
AlexT_Ondrive Good.MOV,Good Club,T5,Setup head variance,tracking,True,False,0,25,19,6,74,80,6
AlexT_Ondrive Good.MOV,Good Club,S1,Hip shift,stability,False,False,0,25,23,2,74,80,6
AlexT_Ondrive Good.MOV,Good Club,S2,Post-contact instability,stability,False,False,0,25,23,2,74,80,6
AlexT_Ondrive Good.MOV,Good Club,S3,Hip drift frames,stability,True,False,0,25,23,2,74,80,6
AlexT_Ondrive Good.MOV,Good Club,S4,Post-contact body rotation,stability,False,False,0,25,23,2,74,80,6
AlexT_Ondrive Good.MOV,Good Club,F1,Sync frames,flow,False,True,4,2,20,18,74,80,6
AlexT_Ondrive Good.MOV,Good Club,F2,Velocity direction changes,flow,True,False,0,2,20,18,74,80,6
AlexT_Ondrive Good.MOV,Good Club,F3,Timing ratio,flow,False,True,9,2,20,18,74,80,6
AlexT_Ondrive Good.MOV,Good Club,F4,Pause frames,flow,False,True,6,2,20,18,74,80,6
AlexT_Ondrive Good.MOV,Good Club,F5,Mid-downswing hitch,flow,False,False,0,2,20,18,74,80,6
AlexT_Ondrive Good.MOV,Good Club,F6,Follow-through frames,flow,False,True,4,2,20,18,74,80,6
Cam T_LH Offdrive Elite.mov,Elite,A1,Bat path around body,access,False,False,0,25,23,2,78,89,11
Cam T_LH Offdrive Elite.mov,Elite,A2,Elbow angle at contact,access,True,False,0,25,23,2,78,89,11
Cam T_LH Offdrive Elite.mov,Elite,A3,Compression frames,access,False,False,0,25,23,2,78,89,11
Cam T_LH Offdrive Elite.mov,Elite,A4,Torso lean,access,True,False,0,25,23,2,78,89,11
Cam T_LH Offdrive Elite.mov,Elite,A5,Shoulder-hip gap,access,False,False,0,25,23,2,78,89,11
Cam T_LH Offdrive Elite.mov,Elite,A6,Early opening fraction,access,False,False,0,25,23,2,78,89,11
